aa    a: 
paat    p_h a: t 
paau    p_h a: u: 
pai    p_h a i: 
pan    p_h a n 
pang    p_h a N 
pat	p_h E: t
pau p a u:
pe    p_h E: 
pei    p_h e i: 
pek    p_h E: k 
pen    p_h E: N 
peng    p_h E: N 
pik    p_h I k 
pin    p_h i: n 
ping    p_h I N 
pit    p_h i: t 
piu    p_h i: u: 
po    p_h O: 
pok    p_h O: k 
pon    p_h O: n 
pong    p_h O: N 
pou    p_h o u: 
pui    p_h u: i: 
puk    p_h U k 
pun    p_h u: n 
pung    p_h U N 
put    p_h u: t 
saa    s a: 
saai    s a: i: 
saak    s a: k 
saam    s a: m 
saan    s a: n 
saang    s a: N 
saap    s a: p 
saat    s a: t 
saau    s a: u: 
sai    s a i: 
sak    s a k 
sam    s a m 
san    s a n 
sang    s a N 
sap    s a p 
sat    s a t 
sau    s a u: 
se    s E: 
sei    s e i: 
sek    s E: k 
seng    s E: N 
seoi    s eo i: 
seon    s eo n 
seot    s eo t 
si    s i: 
sik    s I k 
sil    s i: l 
sim    s i: m 
sin    s i: n 
sing    s I N 
sip    s i: p 
sit    s i: t 
siu    s i: u: 
so    s O: 
soe    s oe 
soek    s oe k 
soen    s oe N 
soeng    s oe N 
soet    s oe k 
soi    s O: i: 
sok    s O: k 
son    s O: n 
song    s O: N 
sou    s o u: 
suk    s U k 
sung    s U N 
syu    s y: 
syun    s y: n 
syut    s y: t 
taa    t_h a: 
taai    t_h a: i: 
taam    t_h a: m 
taan    t_h a: n 
taap    t_h a: p 
taat    t_h a: t 
taau    t_h a: u: 
tai    t_h a i: 
tam    t_h a m 
tan    t_h a n 
tang    t_h a N 
tap    t_h a p 
tau    t_h a u: 
te    t_h E: 
tei    t_h e i: 
tek    t_h E: k 
ten    t_h E: N 
teng    t_h E: N 
teoi    t_h eo i: 
teon    t_h eo n 
ti    t_h i: 
tik    t_h I k 
tim    t_h i: m 
tin    t_h i: n 
ting    t_h I N 
tip    t_h i: p 
tit    t_h i: t 
tiu    t_h i: u: 
to    t_h O: 
toe    t_h oe 
toi    t_h O: i: 
tok    t_h O: k 
ton    t_h O: n 
tong    t_h O: N 
tou    t_h o u: 
tuk    t_h U k 
tung    t_h U N 
tut    t_h u: t 
tyun    t_h y: n 
tyut    t_h y: t 
uk    U k 
waa    w a: 
waai    w a: i: 
waak    w a: k 
waan    w a: n 
waang    w a: N 
waat    w a: t 
wai    w a i: 
wan    w a n 
wang    w a N 
wat    w a t 
wei    w e i: 
wik    w I k 
wing    w I N 
wo    w O: 
wok    w O: k 
won    w O: n 
wong    w O: N 
wu    w u: 
wui    w u: i: 
wun    w u: n 
wut    w u: t 
yun    j y: n 
zaa    ts a: 
zaai    ts a: i: 
zaak    ts a: k 
zaam    ts a: m 
zaan    ts a: n 
zaang    ts a: N 
zaap    ts a: p 
zaat    ts a: t 
zaau    ts a: u: 
zai    ts a i: 
zak    ts a k 
zam    ts a m 
zan    ts a n 
zang    ts a N 
zap    ts a p 
zat    ts a t 
zau    ts a u: 
ze    ts E: 
zek    ts E: k 
zen    ts E: N 
zeng    ts E: N 
zeoi    ts eo i: 
zeon    ts eo n 
zeot    ts eo t 
zi    ts i: 
zik    ts I k 
zim    ts i: m 
zin    ts i: n 
zing    ts I N 
zip    ts i: p 
zit    ts i: t 
ziu    ts i: u: 
zo    ts O: 
zoe    ts oe 
zoek    ts oe k 
zoen    ts oe N 
zoeng    ts oe N 
zoi    ts O: i: 
zok    ts O: k 
zon    ts O: n 
zong    ts O: N 
zou    ts o u: 
zuk    ts U k 
zung    ts U N 
zyu    ts y: 
zyun    ts y: n 
zyut    ts y: t 
